Date,Open,High,Low,Shares Traded,Turnover (Rs. Cr),Close
29-Sep-00,1267.3,1284.15,1264.4,49222289,2024.29,1271.65
03-Oct-00,1270.75,1288.15,1254.35,53465691,2010.96,1282
04-Oct-00,1281.45,1300.05,1275.8,42233464,1894.67,1297.8
05-Oct-00,1296.1,1306.45,1282.5,46464764,2106.74,1284.75
06-Oct-00,1284.35,1287.85,1262.65,51772489,2554.93,1285
09-Oct-00,1285.05,1286.35,1264.2,35059618,1548.95,1267.3
10-Oct-00,1268.7,1272.75,1230.05,48897412,2256.73,1238.95
11-Oct-00,1232.85,1234.1,1193.8,50473747,2499.47,1201.9
12-Oct-00,1201.3,1214.35,1185.1,58853946,2798.13,1206.25
13-Oct-00,1205.7,1205.7,1167.5,55251611,2407.17,1176.75
16-Oct-00,1177.85,1228.8,1173.35,55531115,2416.43,1175.45
17-Oct-00,1174.3,1174.3,1140.6,60519154,2530.89,1158.05
18-Oct-00,1157.05,1157.05,1122.8,46516140,1875.79,1136
19-Oct-00,1135.65,1171.5,1108.2,67023099,2565.29,1166.15
20-Oct-00,1166.2,1202.7,1166.2,67674507,2906.96,1172
23-Oct-00,1171.75,1172.15,1141.45,48683559,2018.46,1143.95
24-Oct-00,1143,1155.35,1132.9,48203039,1919.5,1152.45
25-Oct-00,1158.2,1190.4,1157.25,61460048,2299.96,1183.9
26-Oct-00,1182.8,1188.2,1176.6,14447058,511.66,1186.3
27-Oct-00,1186.95,1192.9,1171.85,42726133,1588.58,1178.7
30-Oct-00,1178.75,1185.8,1164.25,38382435,1313.3,1167.15
31-Oct-00,1167.2,1175.6,1155.15,46347670,1554.54,1172.75
01-Nov-00,1178.25,1203.85,1177.1,57074022,1915.83,1200.8
02-Nov-00,1201.25,1226.35,1199.75,67708490,2364.68,1224.85
03-Nov-00,1225,1249.2,1225,76271033,2652.14,1242.05
06-Nov-00,1242.15,1261.4,1236.65,71321989,2454.65,1240.25
07-Nov-00,1239,1249.1,1232.35,52944920,2027.09,1246.75
08-Nov-00,1246.65,1277.25,1246.65,75236288,2992.44,1266.8
09-Nov-00,1266.75,1275.55,1255.95,61831113,1986.91,1269.95
10-Nov-00,1271.35,1271.4,1237.5,62554227,2052.48,1239.55
13-Nov-00,1239.35,1239.35,1199.95,56910304,1899.45,1208.05
14-Nov-00,1207.2,1246.9,1207.05,71325452,2281.33,1242.85
15-Nov-00,1245,1270.1,1243.2,71820640,2293.81,1247.05
16-Nov-00,1246.6,1254.55,1228.6,62682250,1859.78,1233.25
17-Nov-00,1232.35,1238,1216.9,56343239,1993.84,1236
20-Nov-00,1236,1241.75,1231.05,53530821,1659.55,1237.6
21-Nov-00,1236.95,1237.85,1224.3,54134113,1818.89,1235
22-Nov-00,1235.85,1247.5,1220.05,56320308,2208.16,1222.35
23-Nov-00,1221.2,1223.05,1209.85,60184640,1800.94,1216
24-Nov-00,1216.05,1230,1216.05,69640031,2084.2,1225.2
27-Nov-00,1225.4,1254.45,1225.35,67007159,2070.79,1252.9
28-Nov-00,1252.9,1275.45,1248.9,81848549,2375.92,1272.75
29-Nov-00,1272.25,1281,1253.45,83440444,2429.91,1264.75
30-Nov-00,1264.75,1272.1,1258.4,75246754,2361.41,1268.15
03-Dec-01,1067.2,1074.5,1063.25,53290729,1290.44,1065.4
04-Dec-01,1066.05,1082.6,1065.65,58418781,1378.54,1077.7
05-Dec-01,1077.95,1107.15,1077.95,67346487,1751.36,1104.55
06-Dec-01,1105.1,1132.65,1105.1,77041903,2338.02,1110.45
07-Dec-01,1110.9,1122.65,1109.65,59278142,1571.3,1112.3
10-Dec-01,1112.15,1123.55,1112.15,54626721,1362.28,1115.25
11-Dec-01,1112.15,1122.85,1107.7,69174821,1838.51,1110.2
12-Dec-01,1110.65,1121.55,1104.75,54115209,1545.38,1107.65
13-Dec-01,1107.75,1114.15,1069.95,66162787,1861.9,1098.75
14-Dec-01,1098.65,1102.9,1082.75,41868889,1075.62,1087.85
18-Dec-01,1089.9,1098,1071.35,47044326,1225.74,1082.3
19-Dec-01,1082.5,1086.35,1057.1,49991317,1307.76,1060.75
20-Dec-01,1060.45,1064.8,1047.5,55791413,1495.95,1062
21-Dec-01,1061.8,1061.8,1043.65,47173980,1202.65,1050.85
24-Dec-01,1051,1055,1032.6,41895503,966.19,1048.5
26-Dec-01,1048.9,1058.3,1030.5,42610311,978.87,1034.25
27-Dec-01,1033.85,1037.7,1017.35,60268297,1182.63,1020
28-Dec-01,1019.9,1036.35,1010.45,56360665,1451.51,1033.8
31-Dec-01,1033.9,1062.3,1033.9,53151737,1410.98,1059.05
01-Jan-02,1058.85,1071.15,1052.05,43951938,1316.25,1055.3
02-Jan-02,1054.95,1065.25,1054.1,49608297,1396.19,1060.75
03-Jan-02,1063.45,1074.85,1062.9,61870889,1744.94,1072.25
04-Jan-02,1072.4,1099.25,1072.4,74407831,1934.64,1096.2
07-Jan-02,1093.05,1111.55,1093.05,61389127,1703.56,1100.15
08-Jan-02,1100.55,1114.55,1097.9,67831569,2138.41,1109.9
09-Jan-02,1110,1119.4,1098.7,74868151,2201.97,1102.8
10-Jan-02,1098.8,1105.35,1093.6,68965273,2360.41,1098.2
11-Jan-02,1098.15,1105.9,1073.45,71147237,2173.36,1088.55
14-Jan-02,1089.45,1118.5,1089.45,60424974,1789.75,1109.8
15-Jan-02,1109.45,1112.6,1090.2,55221142,1570.92,1094.15
16-Jan-02,1094.15,1104.8,1085.3,59753435,1845.23,1090.3
17-Jan-02,1090.25,1116.05,1078.95,83524489,2598.76,1109.2
18-Jan-02,1109.55,1121.75,1089.05,84626074,2710.84,1093.15
21-Jan-02,1093.25,1099.8,1082.65,64348299,2078.74,1091.35
22-Jan-02,1091.35,1099,1090,55745783,1721.96,1092.85
23-Jan-02,1092.85,1096.95,1087.5,53732790,1536.95,1089.4
24-Jan-02,1089.6,1098.6,1081.7,47718204,1359.92,1085.3
25-Jan-02,1085.85,1089.7,1077,59839751,1857.72,1080.1
28-Jan-02,1083.25,1088.75,1068.7,49771696,1473.84,1071.35
29-Jan-02,1071.35,1076.45,1068.85,58946386,1775.15,1071.65
30-Jan-02,1072.85,1072.85,1058.8,50687169,1458.15,1067.45
31-Jan-02,1067.65,1082,1067.65,66028228,1997.32,1075.4
01-Feb-02,1076.95,1088.05,1076.95,58399504,1616.41,1081.65
04-Feb-02,1083.05,1086.95,1074.15,57892596,1400.92,1076.9
05-Feb-02,1076.25,1081.2,1069.4,68534066,1595.08,1074.25
06-Feb-02,1074.4,1117.1,1074,73870009,1911.33,1113.1
07-Feb-02,1114.85,1130.95,1104.3,93831069,2651.59,1110.45
08-Feb-02,1112.8,1131.85,1104.45,73014449,2153.26,1123.75
11-Feb-02,1124.85,1144.15,1124.85,61164119,1679.05,1131.55
12-Feb-02,1131.95,1143.3,1125.55,59329834,1569.26,1129.5
13-Feb-02,1129.8,1142.3,1129.6,55749416,1591.08,1135.1
14-Feb-02,1135.5,1151.65,1133.85,60597908,1387.05,1150
15-Feb-02,1150.65,1164.1,1150.3,67681171,1569.86,1159.95
18-Feb-02,1159.85,1177.05,1156.7,59695028,1480.5,1172.85
19-Feb-02,1172.85,1178.1,1155.1,59280466,1555.36,1158.9
20-Feb-02,1158.45,1158.45,1134.65,49629349,1229.68,1145.95
21-Feb-02,1146.05,1158.05,1146.05,34460898,934.29,1149.85
22-Feb-02,1149.85,1165.7,1145.5,53387825,1317.89,1163.5
25-Feb-02,1163.65,1167.6,1155.45,51745981,1276,1165.45
26-Feb-02,1165.75,1192.65,1165.75,66999666,1742.18,1189.4
27-Feb-02,1190.15,1205.95,1180,76052450,2018.96,1189.2
28-Feb-02,1189.6,1197,1135.2,104258064,2671.53,1142.05
01-Mar-02,1142.05,1181.25,1135.45,68816352,1732.19,1178
04-Mar-02,1178.45,1201.1,1172.3,74298964,1806.94,1177.35
05-Mar-02,1176.4,1193.1,1175.15,63428456,1837.13,1178.5
06-Mar-02,1176.55,1182.65,1162.75,61487666,1648.34,1172.6
07-Mar-02,1173.6,1195.2,1173.6,50206347,1752.93,1193.05
08-Mar-02,1193.6,1199.6,1182.55,50281539,1845.85,1187.65
11-Mar-02,1187.5,1192.75,1164.55,50588345,1743.51,1167.85
12-Mar-02,1167.85,1171.2,1144.3,50380999,1656.58,1150.45
13-Mar-02,1150.2,1165.4,1143.55,41957225,1363.71,1157.05
14-Mar-02,1156.85,1163.65,1153.15,31818825,1039.49,1159.45
15-Mar-02,1159.6,1173.75,1159.6,61764394,1706.23,1169.75
18-Mar-02,1169.95,1184.7,1163.75,44598134,1257.97,1169.3
19-Mar-02,1169.4,1170.8,1150.3,40006138,1157.44,1152.15
20-Mar-02,1152.05,1158.95,1148.5,41282550,1233.28,1155.6
21-Mar-02,1155.55,1155.55,1141.05,32471168,964.3,1144.2
22-Mar-02,1144.5,1148.65,1135.9,36787369,1091.75,1138.45
26-Mar-02,1138.1,1140.2,1117.85,32691866,964.1,1123.05
